sutta_uid,other_sutta_uid,partial,footnote
#commented-out texts are vinaya texts that are yet not supported by correspondence.csv
mn145,sa311,,"<span class='author'>Akanuma</span> p. 171 lists SA 215 at T ii 54b as a further parallel. However, SA 215 corresponds to only the first section of MN 145. We follow <span class='author'>Yin Shun</span> 1983 vol. i pp. 263–264 in identifying SA 215 as rather a parallel to SN 35.70, which it matches closely though disagreeing over the bhikkhu’s name: Punna in SA 215, Upavana in SN 35.70.  "
mn145,t108,,
mn145,t1448.3,,
mn145,dq20,,
an10.93,sf80,1,
mn145,divy2,,
mn146,sa276,,
mn146,t1442.30,,
mn146,sht-sutta68,,
mn147,sn18.1-5,1,
mn147,sn35.121,,
mn147,sa200,1,
mn148,sa304,,"<span class='author'>Akanuma</span> p. 171 lists MA 86 at T i 562a as another parallel. In MA 86 Ānanda asks the Buddha how to instruct a group of young monks. The Buddha responds by discussing the five aggregates, the six senses, and a broad range of other topics. Thus, despite some overlap as regards the exposition of the six senses, MA 86 and MN 148 do not seem to be parallels. "
mn148,sa323-327,1,"SA 323–327 and SA 330 form part of a series of short discourses, each of which treats just one aspect of the exposition given in MN 148. Thus, they are partial parallels, just like the Sanskrit fragments in <span class='author'>Enomoto</span> 1989."
mn148,sa330,1,
mn148,up3.059,,
mn148,sf18,,
mn148,sht-sutta71,,
mn149,sa305,,
mn150,sa280,,
mn150,sht-sutta69,,
mn151,sa236,,
mn151,ea45.6,1,"EA 45.6 parallels only the first part of MN 151, after which it continues differently."
mn152,sa282,,
mn152,sht-sutta70,,
dn1,t1548.126,1,
an1.30,ea11.6,,
an1.29,ea11.5,,
sn56.61-131,sa-3.22,1,
sn56.61-131,sa442,,
sn56.59,sa441,1,
sn56.57,sa440,1,
sn56.55,sa441,1,
sn56.52-53,sa440,,
sn56.51,sa442,1,
sn56.49,sa441,1,
sn56.49,sa439,,
sn56.47-48,sa406,,
sn56.46,sa424-426,1,
sn56.46,sa423,1,
sn56.45,sa405,,
sn56.44,sa436-437,,
sn56.43,sf136,,
sn56.43,sa422,,
sn56.42,sa421,,
sn56.41,sa407,,
sn56.40,sa399,,
sn56.39,sa398,,
sn56.38,sa395,,
sn56.37,sa394,,
sn56.36,sa438,,
sn56.35,sa401,,
sn56.34,sa400,,
sn56.33,sa430,,
sn56.32,sa435,1,
sn56.32,sa397,,
sn56.31,sa404,,
sn56.29,sa382,,
sn56.27,sa417,,
sn56.24,sa402,1,
sn56.23,sa402,,
sn56.22,sa390-392,1,
sn56.21,dq122,,
sn56.21,ea25.1,,
sn56.21,sa403,,
sn56.20,sa417,,
sn56.16,sa418,,
sn56.15,sa416,,
an1.21,sf177.1,,
an1.16-20,sf203.106-111,,
an1.16-20,ea9.10,,
an1.11-15,sf203.101-105,,
sn56.11,sn56.12,1,
an1.1-5,ea9.7,,
an1.1-5,t792,,
an1.6-10,ea9.8,,
an1.11-15,ea9.9,,
sn56.11,sf260,,
#sn56.11,skt-mu-kd17#sbvi134-#sbvi139,,
sn56.11,dq126,1,
sn56.11,dq95,,
sn56.11,ea19.2,1,
sn56.11,ma204,1,
#sn56.11,t1428.32a,,
#sn56.11,t1421.15b,,
sn56.11,t110,1,
sn56.11,t109,,
sn56.11,sa379,,
sn56.10,sa411,,
sn56.9,sa412,,
sn56.8,sa408,,
sn56.7,sa409-410,,
sn56.5-6,sa390-391,1,
sn56.3-4,sf267,,
sn56.3-4,sa393,1,
sn56.2,sa428,,
sn56.1,sa429,,
sn55.55-58,sa1128-1129,1,
sn55.55,sa1125,,
sn55.54,sa1122,,
sn55.53,sa1033,,
sn55.50,sa1125,,
sn55.49,sa153,1,
sn55.49,sa928,1,
sn55.48,sa1123,1,
sn55.47,sa856,,
sn55.46,sa1126,,
sn55.44-45,sa834,,
sn55.41-42,sa841,,
sn55.40,sa855,,
sn55.39,sa1036,,
sn55.37,sa-2.152,,
sn55.37,sa927,,
sn55.36,sa1124,,
sn55.35,sa848-850,,
sn55.34,sa847,,
